t,C_eth,C_ace,C_dia
0.000000,0.000000,0.000000,0.000000
1.000000,0.049152,0.000048,0.003440
2.000000,0.136528,0.000132,0.009555
3.000000,0.259857,0.000252,0.018184
4.000000,0.416951,0.000405,0.029172
5.000000,0.605705,0.000589,0.042366
6.000000,0.824100,0.000803,0.057617
7.000000,1.070202,0.001045,0.074778
8.000000,1.342161,0.001312,0.093707
9.000000,1.638211,0.001605,0.114264
10.000000,1.956669,0.001921,0.136310
11.000000,2.295934,0.002258,0.159712
12.000000,2.654482,0.002617,0.184337
13.000000,3.030869,0.002996,0.210056
14.000000,3.423722,0.003392,0.236741
15.000000,3.831744,0.003807,0.264269
16.000000,4.253707,0.004238,0.292518
17.000000,4.688448,0.004684,0.321371
18.000000,5.134871,0.005145,0.350711
19.000000,5.591941,0.005620,0.380428
20.000000,6.058683,0.006108,0.410412
21.000000,6.534178,0.006609,0.440558
22.000000,7.017561,0.007121,0.470764
23.000000,7.508020,0.007644,0.500933
24.000000,8.004790,0.008177,0.530970
25.000000,8.507153,0.008720,0.560786
26.000000,9.014436,0.009272,0.590294
27.000000,9.526008,0.009833,0.619412
28.000000,10.041330,0.010403,0.648066
29.000000,10.562893,0.010983,0.676393
30.000000,11.091879,0.011576,0.704436
31.000000,11.627684,0.012181,0.732111
32.000000,12.169729,0.012799,0.759339
33.000000,12.717451,0.013428,0.786041
34.000000,13.270313,0.014068,0.812146
35.000000,13.827794,0.014718,0.837582
36.000000,14.389394,0.015379,0.862283
37.000000,14.954632,0.016050,0.886186
38.000000,15.523045,0.016731,0.909233
39.000000,16.094187,0.017421,0.931368
40.000000,16.667630,0.018120,0.952542
41.000000,17.242961,0.018828,0.972707
42.000000,17.819785,0.019544,0.991822
43.000000,18.397722,0.020269,1.009850
44.000000,18.976407,0.021001,1.026755
45.000000,19.555489,0.021740,1.042511
46.000000,20.134634,0.022487,1.057091
47.000000,20.713517,0.023240,1.070475
48.000000,21.291832,0.024001,1.082647
49.000000,21.869283,0.024767,1.093595
50.000000,22.445586,0.025540,1.103312
51.000000,23.020472,0.026319,1.111791
52.000000,23.593682,0.027103,1.119035
53.000000,24.164970,0.027893,1.125046
54.000000,24.734099,0.028687,1.129830
55.000000,25.300845,0.029487,1.133399
56.000000,25.864994,0.030291,1.135767
57.000000,26.426343,0.031099,1.136949
58.000000,26.984699,0.031912,1.136967
59.000000,27.539876,0.032728,1.135841
60.000000,28.091701,0.033548,1.133597
61.000000,28.640008,0.034372,1.130262
62.000000,29.184641,0.035199,1.125865
63.000000,29.725451,0.036029,1.120437
64.000000,30.262299,0.036861,1.114012
65.000000,30.795053,0.037697,1.106624
66.000000,31.323588,0.038534,1.098308
67.000000,31.847789,0.039374,1.089102
68.000000,32.367544,0.040216,1.079044
69.000000,32.882752,0.041059,1.068172
70.000000,33.393317,0.041904,1.056525
71.000000,33.899149,0.042751,1.044143
72.000000,34.400164,0.043598,1.031067
73.000000,34.896286,0.044447,1.017336
74.000000,35.387441,0.045296,1.002991
75.000000,35.873565,0.046146,0.988072
76.000000,36.354595,0.046996,0.972619
77.000000,36.830475,0.047846,0.956671
78.000000,37.301153,0.048696,0.940267
79.000000,37.766582,0.049546,0.923445
80.000000,38.226720,0.050396,0.906243
81.000000,38.681526,0.051245,0.888698
82.000000,39.130966,0.052093,0.870847
83.000000,39.575007,0.052941,0.852723
84.000000,40.013620,0.053787,0.834362
85.000000,40.446779,0.054632,0.815796
86.000000,40.874462,0.055475,0.797058
87.000000,41.296646,0.056316,0.778179
88.000000,41.713312,0.057156,0.759188
89.000000,42.124443,0.057993,0.740115
90.000000,42.530023,0.058828,0.720987
91.000000,42.930036,0.059661,0.701830
92.000000,43.324468,0.060490,0.682670
93.000000,43.713302,0.061317,0.663531
94.000000,44.096525,0.062140,0.644436
95.000000,44.474119,0.062960,0.625407
96.000000,44.846066,0.063777,0.606464
97.000000,45.212345,0.064589,0.587628
98.000000,45.572933,0.065397,0.568916
99.000000,45.927800,0.066201,0.550346
100.000000,46.276912,0.067000,0.531935
