t,C_eth,C_ace,C_dia
0.000000,0.000000,0.000000,0.000000
1.000000,0.070372,0.000167,0.004503
2.000000,0.212234,0.000505,0.013587
3.000000,0.418198,0.000996,0.026787
4.000000,0.681465,0.001626,0.043674
5.000000,0.995805,0.002381,0.063853
6.000000,1.355525,0.003249,0.086957
7.000000,1.755435,0.004218,0.112645
8.000000,2.190819,0.005279,0.140601
9.000000,2.657398,0.006422,0.170529
10.000000,3.151300,0.007640,0.202152
11.000000,3.669023,0.008925,0.235213
12.000000,4.207413,0.010271,0.269469
13.000000,4.763624,0.011671,0.304696
14.000000,5.335099,0.013121,0.340682
15.000000,5.919542,0.014615,0.377228
16.000000,6.518663,0.016159,0.414403
17.000000,7.160519,0.017826,0.454036
18.000000,7.851104,0.019638,0.496469
19.000000,8.590172,0.021595,0.541616
20.000000,9.377308,0.023702,0.589374
21.000000,10.211900,0.025962,0.639614
22.000000,11.093109,0.028378,0.692184
23.000000,12.019852,0.030952,0.746904
24.000000,12.990781,0.033687,0.803569
25.000000,14.004272,0.036584,0.861944
26.000000,15.058418,0.039646,0.921769
27.000000,16.151033,0.042871,0.982754
28.000000,17.279652,0.046262,1.044588
29.000000,18.441552,0.049817,1.106934
30.000000,19.633765,0.053535,1.169439
31.000000,20.853102,0.057414,1.231731
32.000000,22.096190,0.061452,1.293430
33.000000,23.359497,0.065646,1.354148
34.000000,24.639374,0.069991,1.413494
35.000000,25.932094,0.074483,1.471083
36.000000,27.233892,0.079116,1.526539
37.000000,28.541005,0.083885,1.579498
38.000000,29.849712,0.088782,1.629618
39.000000,31.156373,0.093801,1.676581
40.000000,32.457464,0.098934,1.720095
41.000000,33.749608,0.104172,1.759903
42.000000,35.029603,0.109508,1.795780
43.000000,36.294448,0.114932,1.827539
44.000000,37.541360,0.120434,1.855034
45.000000,38.767791,0.126006,1.878155
46.000000,39.971435,0.131639,1.896833
47.000000,41.150240,0.137321,1.911038
48.000000,42.302401,0.143045,1.920777
49.000000,43.426369,0.148799,1.926095
50.000000,44.520836,0.154575,1.927068
51.000000,45.584735,0.160363,1.923804
52.000000,46.617226,0.166154,1.916439
53.000000,47.617682,0.171938,1.905136
54.000000,48.585681,0.177708,1.890077
55.000000,49.520987,0.183454,1.871463
56.000000,50.423535,0.189169,1.849512
57.000000,51.293416,0.194844,1.824452
58.000000,52.130864,0.200472,1.796519
59.000000,52.936233,0.206047,1.765958
60.000000,53.709990,0.211562,1.733014
61.000000,54.452696,0.217010,1.697933
62.000000,55.164994,0.222385,1.660961
63.000000,55.847592,0.227684,1.622337
64.000000,56.501259,0.232900,1.582298
65.000000,57.126804,0.238029,1.541070
66.000000,57.725074,0.243068,1.498872
67.000000,58.296941,0.248012,1.455914
68.000000,58.843293,0.252859,1.412395
69.000000,59.365030,0.257606,1.368501
70.000000,59.863055,0.262251,1.324408
71.000000,60.338268,0.266791,1.280281
72.000000,60.791562,0.271225,1.236269
73.000000,61.223819,0.275552,1.192512
74.000000,61.635907,0.279771,1.149136
75.000000,62.028676,0.283881,1.106258
76.000000,62.402956,0.287883,1.063979
77.000000,62.759553,0.291775,1.022392
78.000000,63.099252,0.295558,0.981577
79.000000,63.422813,0.299233,0.941607
80.000000,63.730969,0.302800,0.902540
81.000000,64.024427,0.306261,0.864430
82.000000,64.303870,0.309615,0.827319
83.000000,64.569953,0.312866,0.791241
84.000000,64.823305,0.316013,0.756225
85.000000,65.064529,0.319059,0.722289
86.000000,65.294202,0.322005,0.689449
87.000000,65.512878,0.324854,0.657711
88.000000,65.721084,0.327606,0.627079
89.000000,65.919326,0.330264,0.597550
90.000000,66.108084,0.332829,0.569118
91.000000,66.287819,0.335305,0.541772
92.000000,66.458967,0.337693,0.515499
93.000000,66.621947,0.339995,0.490281
94.000000,66.777155,0.342213,0.466100
95.000000,66.924969,0.344351,0.442934
96.000000,67.065751,0.346409,0.420759
97.000000,67.199841,0.348390,0.399551
98.000000,67.327566,0.350296,0.379283
99.000000,67.449236,0.352130,0.359928
100.000000,67.565145,0.353894,0.341457
