T_pre,T_post,ManufacturingTime,C_dia
286.150000,286.150000,76.171000,1.134794
286.150000,287.150000,68.157000,1.427508
286.150000,288.150000,60.915000,1.730508
286.150000,289.150000,54.628000,2.023377
286.150000,290.150000,49.394000,2.284157
286.150000,291.150000,45.269000,2.491044
287.150000,286.150000,73.481000,1.180683
287.150000,287.150000,65.335000,1.486952
287.150000,288.150000,57.999000,1.803251
287.150000,289.150000,51.642000,2.108456
287.150000,290.150000,46.344000,2.380867
287.150000,291.150000,42.129000,2.600668
288.150000,286.150000,71.193000,1.216548
288.150000,287.150000,62.938000,1.533647
288.150000,288.150000,55.527000,1.860297
288.150000,289.150000,49.117000,2.174767
288.150000,290.150000,43.775000,2.455479
288.150000,291.150000,39.504000,2.683949
289.150000,286.150000,69.233000,1.244527
289.150000,287.150000,60.888000,1.570287
289.150000,288.150000,53.414000,1.905111
289.150000,289.150000,46.962000,2.226650
289.150000,290.150000,41.587000,2.513425
289.150000,291.150000,37.278000,2.747891
290.150000,286.150000,67.543000,1.266357
290.150000,287.150000,59.120000,1.599162
290.150000,288.150000,51.594000,1.940453
290.150000,289.150000,45.108000,2.267457
290.150000,290.150000,39.707000,2.558744
290.150000,291.150000,35.371000,2.797478
291.150000,286.150000,33.724000,2.836230
291.150000,287.150000,33.724000,2.836230
291.150000,288.150000,33.724000,2.836230
291.150000,289.150000,33.724000,2.836230
291.150000,290.150000,33.724000,2.836230
291.150000,291.150000,33.724000,2.836230
