T_pre,T_post,ManufacturingTime,C_dia
286.250000,286.250000,75.051000,1.168369
286.250000,286.350000,74.226000,1.197082
286.250000,286.450000,73.406000,1.226050
286.250000,286.550000,72.592000,1.255240
286.250000,286.650000,71.785000,1.284620
286.250000,286.750000,70.984000,1.314208
286.250000,286.850000,70.191000,1.343943
286.250000,286.950000,69.404000,1.373868
286.250000,287.050000,68.625000,1.403920
286.250000,287.150000,67.853000,1.434114
286.250000,287.250000,67.089000,1.464411
286.250000,287.350000,66.333000,1.494798
286.250000,287.450000,65.585000,1.525262
286.250000,287.550000,64.846000,1.555761
286.250000,287.650000,64.116000,1.586279
286.250000,287.750000,63.394000,1.616828
286.250000,287.850000,62.682000,1.647338
286.250000,287.950000,61.978000,1.677843
286.250000,0.000000,19.371000,nan
286.250000,0.000000,19.371000,nan
286.350000,286.250000,74.765000,1.173491
286.350000,286.350000,73.938000,1.202361
286.350000,286.450000,73.117000,1.231460
286.350000,286.550000,72.302000,1.260783
286.350000,286.650000,71.493000,1.290325
286.350000,286.750000,70.691000,1.320050
286.350000,286.850000,69.896000,1.349949
286.350000,286.950000,69.108000,1.380014
286.350000,287.050000,68.327000,1.410233
286.350000,287.150000,67.554000,1.440569
286.350000,287.250000,66.789000,1.471009
286.350000,287.350000,66.032000,1.501539
286.350000,287.450000,65.283000,1.532147
286.350000,287.550000,64.543000,1.562790
286.350000,287.650000,63.812000,1.593453
286.350000,287.750000,63.089000,1.624147
286.350000,287.850000,62.375000,1.654827
286.350000,287.950000,61.671000,1.685452
286.350000,0.000000,19.148000,nan
286.350000,0.000000,19.148000,nan
286.450000,286.250000,74.483000,1.178508
286.450000,286.350000,73.654000,1.207531
286.450000,286.450000,72.832000,1.236759
286.450000,286.550000,72.015000,1.266241
286.450000,286.650000,71.205000,1.295915
286.450000,286.750000,70.402000,1.325774
286.450000,286.850000,69.605000,1.355836
286.450000,286.950000,68.816000,1.386038
286.450000,287.050000,68.034000,1.416395
286.450000,287.150000,67.260000,1.446870
286.450000,287.250000,66.494000,1.477449
286.450000,287.350000,65.736000,1.508121
286.450000,287.450000,64.986000,1.538869
286.450000,287.550000,64.245000,1.569654
286.450000,287.650000,63.512000,1.600485
286.450000,287.750000,62.789000,1.631295
286.450000,287.850000,62.074000,1.662117
286.450000,0.000000,18.928000,nan
286.450000,0.000000,18.928000,nan
286.550000,286.250000,74.206000,1.183394
286.550000,286.350000,73.376000,1.212543
286.550000,286.450000,72.552000,1.241925
286.550000,286.550000,71.734000,1.271535
286.550000,286.650000,70.922000,1.301366
286.550000,286.750000,70.118000,1.331357
286.550000,286.850000,69.320000,1.361552
286.550000,286.950000,68.529000,1.391915
286.550000,287.050000,67.746000,1.422407
286.550000,287.150000,66.971000,1.453018
286.550000,287.250000,66.204000,1.483735
286.550000,287.350000,65.444000,1.514571
286.550000,287.450000,64.693000,1.545457
286.550000,287.550000,63.951000,1.576381
286.550000,287.650000,63.218000,1.607325
286.550000,287.750000,62.493000,1.638300
286.550000,287.850000,61.778000,1.669236
286.550000,0.000000,18.710000,nan
286.550000,0.000000,18.710000,nan
286.650000,286.250000,73.933000,1.188182
286.650000,286.350000,73.102000,1.217453
286.650000,286.450000,72.276000,1.246987
286.650000,286.550000,71.457000,1.276723
286.650000,286.650000,70.644000,1.306682
286.650000,286.750000,69.838000,1.336828
286.650000,286.850000,69.039000,1.367154
286.650000,286.950000,68.248000,1.397621
286.650000,287.050000,67.463000,1.428273
286.650000,287.150000,66.687000,1.459018
286.650000,287.250000,65.918000,1.489896
286.650000,287.350000,65.158000,1.520840
286.650000,287.450000,64.406000,1.551862
286.650000,287.550000,63.663000,1.582921
286.650000,287.650000,62.929000,1.614001
286.650000,287.750000,62.203000,1.645112
286.650000,287.850000,61.487000,1.676184
286.650000,0.000000,18.495000,nan
286.650000,0.000000,18.495000,nan
286.750000,286.250000,73.666000,1.192815
286.750000,286.350000,72.833000,1.222233
286.750000,286.450000,72.006000,1.251888
286.750000,286.550000,71.185000,1.281775
286.750000,286.650000,70.371000,1.311859
286.750000,286.750000,69.564000,1.342132
286.750000,286.850000,68.764000,1.372586
286.750000,286.950000,67.971000,1.403209
286.750000,287.050000,67.185000,1.433991
286.750000,287.150000,66.408000,1.464867
286.750000,287.250000,65.638000,1.495876
286.750000,287.350000,64.877000,1.526953
286.750000,287.450000,64.124000,1.558108
286.750000,287.550000,63.380000,1.589300
286.750000,287.650000,62.644000,1.620540
286.750000,287.750000,61.918000,1.651758
286.750000,287.850000,61.201000,1.682964
286.750000,0.000000,18.282000,nan
286.750000,0.000000,18.282000,nan
286.850000,286.250000,73.402000,1.197370
286.850000,286.350000,72.568000,1.226906
286.850000,286.450000,71.740000,1.256681
286.850000,286.550000,70.918000,1.286689
286.850000,286.650000,70.102000,1.316924
286.850000,286.750000,69.294000,1.347321
286.850000,286.850000,68.492000,1.377927
286.850000,286.950000,67.698000,1.408677
286.850000,287.050000,66.911000,1.439588
286.850000,287.150000,66.133000,1.470591
286.850000,287.250000,65.362000,1.501730
286.850000,287.350000,64.600000,1.532936
